# wavelength Fnu
# [wavelength] = Angstrom
# [Fnu] = erg / s / Hz / cm^2
6.4600e+03 9.9928e-17
6.4616e+03 1.0011e-16
6.4633e+03 9.9794e-17
6.4649e+03 9.9637e-17
6.4666e+03 1.0004e-16
6.4682e+03 1.0017e-16
6.4699e+03 9.9814e-17
6.4715e+03 9.9889e-17
6.4732e+03 9.9954e-17
6.4748e+03 1.0004e-16
6.4765e+03 9.9881e-17
6.4781e+03 9.9964e-17
6.4798e+03 9.9823e-17
6.4814e+03 1.0003e-16
6.4831e+03 1.0003e-16
6.4847e+03 9.9884e-17
6.4864e+03 1.0007e-16
6.4880e+03 9.9752e-17
6.4897e+03 9.9856e-17
6.4913e+03 9.9885e-17
6.4930e+03 9.9999e-17
6.4946e+03 1.0032e-16
6.4963e+03 1.0002e-16
6.4979e+03 9.9698e-17
6.4996e+03 9.9563e-17
6.5012e+03 9.9917e-17
6.5029e+03 1.0015e-16
6.5045e+03 9.9857e-17
6.5062e+03 9.9757e-17
6.5078e+03 1.0011e-16
6.5095e+03 1.0006e-16
6.5111e+03 1.0010e-16
6.5128e+03 9.9887e-17
6.5144e+03 1.0017e-16
6.5161e+03 9.9866e-17
6.5177e+03 9.9852e-17
6.5194e+03 1.0006e-16
6.5210e+03 1.0018e-16
6.5227e+03 9.9701e-17
6.5243e+03 1.0006e-16
6.5260e+03 1.0006e-16
6.5276e+03 9.9922e-17
6.5293e+03 9.9811e-17
6.5309e+03 1.0016e-16
6.5326e+03 9.9838e-17
6.5342e+03 9.9726e-17
6.5359e+03 9.9745e-17
6.5375e+03 1.0015e-16
6.5392e+03 9.9872e-17
6.5408e+03 9.9941e-17
6.5425e+03 9.9988e-17
6.5441e+03 9.9863e-17
6.5458e+03 9.9548e-17
6.5474e+03 9.9420e-17
6.5491e+03 9.9631e-17
6.5507e+03 9.9274e-17
6.5524e+03 9.8876e-17
6.5540e+03 9.9147e-17
6.5557e+03 9.8309e-17
6.5573e+03 9.7412e-17
6.5590e+03 9.6508e-17
6.5606e+03 9.3730e-17
6.5623e+03 9.1152e-17
6.5639e+03 9.1580e-17
6.5656e+03 9.3773e-17
6.5672e+03 9.6590e-17
6.5689e+03 9.7430e-17
6.5705e+03 9.8476e-17
6.5722e+03 9.8715e-17
6.5738e+03 9.9079e-17
6.5755e+03 9.9404e-17
6.5771e+03 9.9204e-17
6.5788e+03 9.9486e-17
6.5804e+03 9.9736e-17
6.5821e+03 9.9710e-17
6.5837e+03 9.9819e-17
6.5854e+03 9.9878e-17
6.5870e+03 1.0015e-16
6.5887e+03 9.9756e-17
6.5903e+03 1.0016e-16
6.5920e+03 9.9746e-17
6.5936e+03 1.0006e-16
6.5953e+03 9.9909e-17
6.5969e+03 9.9637e-17
6.5986e+03 1.0017e-16
6.6002e+03 9.9841e-17
6.6019e+03 1.0004e-16
6.6035e+03 1.0017e-16
6.6052e+03 1.0001e-16
6.6068e+03 9.9753e-17
6.6085e+03 9.9998e-17
6.6101e+03 9.9696e-17
6.6118e+03 9.9977e-17
6.6134e+03 1.0003e-16
6.6151e+03 1.0007e-16
6.6167e+03 9.9875e-17
6.6184e+03 1.0004e-16
6.6200e+03 1.0004e-16
6.6217e+03 9.9701e-17
6.6233e+03 9.9850e-17
6.6250e+03 1.0022e-16
6.6266e+03 1.0013e-16
6.6283e+03 1.0001e-16
6.6299e+03 9.9811e-17
6.6316e+03 9.9866e-17
6.6332e+03 1.0005e-16
6.6349e+03 1.0026e-16
6.6365e+03 9.9945e-17
6.6382e+03 9.9877e-17
6.6398e+03 1.0018e-16
6.6415e+03 9.9799e-17
6.6431e+03 1.0032e-16
6.6448e+03 1.0002e-16
6.6464e+03 1.0004e-16
6.6481e+03 9.9776e-17
6.6497e+03 1.0021e-16
6.6514e+03 1.0008e-16
6.6530e+03 9.9918e-17
6.6547e+03 1.0015e-16
6.6563e+03 1.0020e-16
6.6580e+03 9.9993e-17
6.6596e+03 1.0015e-16
